10p Deletion Syndrome (Partial)	MESH:C538288
PEROXISOME BIOGENESIS DISORDER 10B	OMIM:617370
PEROXISOME BIOGENESIS DISORDER 11A (ZELLWEGER)	OMIM:614883
PEROXISOME BIOGENESIS DISORDER 11B	OMIM:614885
PEROXISOME BIOGENESIS DISORDER 12A (ZELLWEGER)	OMIM:614886
PEROXISOME BIOGENESIS DISORDER 13A (ZELLWEGER)	OMIM:614887
PEROXISOME BIOGENESIS DISORDER 14B	OMIM:614920
PEROXISOME BIOGENESIS DISORDER 2A (ZELLWEGER)	OMIM:214110
PEROXISOME BIOGENESIS DISORDER 2B	OMIM:202370
PEROXISOME BIOGENESIS DISORDER 3A (ZELLWEGER)	OMIM:614859
PEROXISOME BIOGENESIS DISORDER 4A (ZELLWEGER)	OMIM:614862
PEROXISOME BIOGENESIS DISORDER 4B	OMIM:614863
PEROXISOME BIOGENESIS DISORDER 5A (ZELLWEGER)	OMIM:614866
PEROXISOME BIOGENESIS DISORDER 5B	OMIM:614867
PEROXISOME BIOGENESIS DISORDER 6A (ZELLWEGER)	OMIM:614870
PEROXISOME BIOGENESIS DISORDER 6B	OMIM:614871
PEROXISOME BIOGENESIS DISORDER 7A (ZELLWEGER)	OMIM:614872
PEROXISOME BIOGENESIS DISORDER 7B	OMIM:614873
PEROXISOME BIOGENESIS DISORDER 8A (ZELLWEGER)	OMIM:614876
PEROXISOME BIOGENESIS DISORDER 8B	OMIM:614877
PEROXISOME BIOGENESIS DISORDER 9B	OMIM:614879
Peroxisome Biogenesis Disorder, Complementation Group 1	MESH:C566568
Peroxisome Biogenesis Disorder, Complementation Group 11	MESH:C566634
Peroxisome Biogenesis Disorder, Complementation Group 12	MESH:C566405
Peroxisome Biogenesis Disorder, Complementation Group 13	MESH:C566625
Peroxisome Biogenesis Disorder, Complementation Group 14	MESH:C563964
Peroxisome Biogenesis Disorder, Complementation Group 3	MESH:C566633
Peroxisome Biogenesis Disorder, Complementation Group 4	MESH:C563301
Peroxisome Biogenesis Disorder, Complementation Group 7	MESH:C566422
Peroxisome Biogenesis Disorder, Complementation Group 9	MESH:C566387
Peroxisome Biogenesis Disorder, Complementation Group D	MESH:C566388
Peroxisome Biogenesis Disorder, Complementation Group E	MESH:C566569
Peroxisome Biogenesis Disorder, Complementation Group G	MESH:C566406
Peroxisome Biogenesis Disorder, Complementation Group H	MESH:C566626
Peroxisome Biogenesis Disorder, Complementation Group J	MESH:C563965
Peroxisome Biogenesis Disorder, Complementation Group K	MESH:C566624
Peroxisome Biogenesis Disorder, Complementation Group R	MESH:C566635
Peroxisome biogenesis disorders	MESH:C536664
PERRAULT SYNDROME 3	OMIM:614129
Perry Syndrome	MESH:C566822
Persian Gulf Syndrome	MESH:D018923
Persistent Fetal Circulation Syndrome	MESH:D010547
Persistent Hyperplastic Primary Vitreous	MESH:D054514
Persistent Hyperplastic Primary Vitreous, Autosomal Recessive	MESH:C566966
Persistent Mullerian duct syndrome	MESH:C536665
Persistent Polyclonal B-Cell Lymphocytosis	MESH:C564707
Persistent Vegetative State	MESH:D018458
Personality Disorders	MESH:D010554
Peste-des-Petits-Ruminants	MESH:D029021
Pestivirus Infections	MESH:D018182
Peters anomaly	MESH:C537884
Peters anomaly with cataract	MESH:C537885
Petrositis	MESH:D059270
Petty Laxova Wiedemann syndrome	MESH:C537886
Peutz-Jeghers Syndrome	MESH:D010580
Pfeiffer Kapferer syndrome	MESH:C537887
Pfeiffer Mayer syndrome	MESH:C537888
Pfeiffer Palm Teller syndrome	MESH:C537889
Pfeiffer Rockelein syndrome	MESH:C537890
Pfeiffer Tietze Welte syndrome	MESH:C537891
Pfeiffer type acrocephalosyndactyly	MESH:C538582
PHACE association	MESH:C537892
Phacomatosis pigmentokeratotica	MESH:C537893
Phacomatosis pigmentovascularis	MESH:C537894
Phaeohyphomycosis	MESH:D060446
Phagocyte Bactericidal Dysfunction	MESH:D010585
Phagocytosis, Plasma-Related Defect in	MESH:C566808
Phantom Limb	MESH:D010591
Pharyngeal Diseases	MESH:D010608
Pharyngeal Neoplasms	MESH:D010610
Pharyngitis	MESH:D010612
Phenacetin O-Deethylase, Deficiency of	MESH:C565127
Phencyclidine Abuse	MESH:D010623
Phenol sulfotransferase deficiency	MESH:C537895
Phenylketonuria, Maternal	MESH:D017042
Phenylketonurias	MESH:D010661
Pheochromocytoma	MESH:D010673
Pheochromocytoma Islet Cell Tumor Syndrome	MESH:C566807
Philadelphia Chromosome	MESH:D010677
Phimosis	MESH:D010688
Phlebectasia Of Lips	MESH:C566806
Phlebitis	MESH:D010689
Phlebotomus Fever	MESH:D010217
Phobia, Social	MESH:D000072861
Phobia, Specific	MESH:C562465
Phobic Disorders	MESH:D010698
Phosphoenolpyruvate carboxykinase 2 deficiency	MESH:C536655
Phosphoenolpyruvate carboxykinase deficiency	MESH:C536654
Phosphoenolpyruvate Carboxykinase Deficiency, Mitochondrial	MESH:C564890
Phosphoglycerate Dehydrogenase Deficiency	MESH:C566618
Phosphoglycerate Kinase 1 Deficiency	MESH:C567067
Phosphoribosylpyrophosphate synthetase deficiency	MESH:C537897
Phosphoribosylpyrophosphate Synthetase Superactivity	MESH:C567064
Phosphorus Metabolism Disorders	MESH:D010760
Phosphoserine Aminotransferase Deficiency	MESH:C567032
PHOSPHOSERINE PHOSPHATASE DEFICIENCY	OMIM:614023
PHOTOPAROXYSMAL RESPONSE 1	OMIM:132100
PHOTOPAROXYSMAL RESPONSE 2	OMIM:609572
Photoparoxysmal Response 3	MESH:C563695
Photophobia	MESH:D020795
Photosensitivity Disorders	MESH:D010787
Phyllodes Tumor	MESH:D003557
Phyllodes Tumor of the Prostate	MESH:C549759
Pica	MESH:D010842
PICA syndrome	MESH:C538664
Pick Complex	MESH:C563966
Pick Disease of the Brain	MESH:D020774
Picornaviridae Infections	MESH:D010850
Piebaldism	MESH:D016116
Piedra	MESH:D010854
Piepkorn Karp Hickok syndrome	MESH:C535774
Pierre Robin Sequence with Facial and Digital Anomalies	MESH:C564078
Pierre Robin sequence with pectus excavatum and rib and scapular anomalies	MESH:C535775
Pierre Robin Syndrome	MESH:D010855
Pierre Robin syndrome with fetal chondrodysplasia	MESH:C535776
Pierson syndrome	MESH:C537185
Pigmentary Disorder, Reticulate, with Systemic Manifestations	MESH:C564461
Pigmentation Disorders	MESH:D010859
Pigmented Nodular Adrenocortical Disease, Primary, 1	MESH:C566469
Pigmented Nodular Adrenocortical Disease, Primary, 2	MESH:C566472
PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 3	OMIM:614190
PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 4	OMIM:615830
Pigmented Paravenous Chorioretinal Atrophy	MESH:C566801
Pigmented purpuric eruption	MESH:C537186
Pili annulati	MESH:C537187
Pili multigemini	MESH:C537188
Pili Torti	MESH:C562485
Pili torti developmental delay neurological abnormalities	MESH:C537398
Pili torti onychodysplasia	MESH:C537399
Pilomatrixoma	MESH:D018296
Pilonidal Sinus	MESH:D010864
Pilotto syndrome	MESH:C537400
Pinealoma	MESH:D010871
Pineal Teratoma	MESH:C537401
Pinguecula	MESH:D059407
Pinheiro Freire-Maia Miranda syndrome	MESH:C537402
Pinta	MESH:D010874
Piriformis Muscle Syndrome	MESH:D055958
Piscirickettsiaceae Infections	MESH:D044225
PITT-HOPKINS-LIKE SYNDROME 2	OMIM:614325
Pitt-Hopkins syndrome	MESH:C537403
Pituitary ACTH Hypersecretion	MESH:D047748
Pituitary Adenoma, Familial Isolated	MESH:C566321
Pituitary Apoplexy	MESH:D010899
Pituitary Diseases	MESH:D010900
Pituitary dwarfism 1	MESH:C537404
Pituitary Dwarfism with Large Sella Turcica	MESH:C562705
Pituitary Hormone Deficiency, Combined, 1	MESH:C567803
Pituitary Hormone Deficiency, Combined, 2	MESH:C563172
Pituitary Hormone Deficiency, Combined, 4	MESH:C567492
Pituitary Neoplasms	MESH:D010911
Pityriasis	MESH:D010915
Pityriasis Lichenoides	MESH:D017514
Pityriasis Rosea	MESH:D017515
Pityriasis Rubra Pilaris	MESH:D010916
Piussan Lenaerts Mathieu syndrome	MESH:C537511
Placenta Accreta	MESH:D010921
Placenta Diseases	MESH:D010922
Placental Insufficiency	MESH:D010927
Placenta Previa	MESH:D010923
Placenta, Retained	MESH:D018457
Plagiocephaly	MESH:D059041
Plagiocephaly and X-linked mental retardation	MESH:C537512
Plagiocephaly, Nonsynostotic	MESH:D049068
Plague	MESH:D010930
Plantar Fibromatosis, Familial	MESH:C565084
Plantar Lipomatosis, Unusual Facies, and Developmental Delay	MESH:C566559
Plant Poisoning	MESH:D010939
Plaque, Amyloid	MESH:D058225
Plaque, Atherosclerotic	MESH:D058226
Plasmablastic Lymphoma	MESH:D000069293
Plasma Cell Granuloma, Pulmonary	MESH:D016726
Plasma Clot Retraction Factor, Deficiency of	MESH:C564885
Plasmacytoma	MESH:D010954
Plasmacytoma anaplastic	MESH:C537514
Plasminogen Activator Inhibitor-1 Deficiency	MESH:C567640
Plasminogen Deficiency, Type I	MESH:C566897
PLASMODIUM FALCIPARUM BLOOD INFECTION LEVEL	OMIM:248310
Platelet-Activating Factor Acetylhydrolase Deficiency	MESH:C566640
Platelet Aggregation, Spontaneous	MESH:C566800
Platelet Alpha-Delta Storage Pool Deficiency	MESH:C566794
Platelet Disorder, Familial, with Associated Myeloid Malignancy	MESH:C563324
Platelet Disorder, Undefined	MESH:C566799
Platelet Factor 3 Deficiency	MESH:C566798
Platelet Glycoprotein IV Deficiency	MESH:C564245
Platelet granule deficiency disorder	MESH:C531691
Platelet Prostacyclin Receptor Defect	MESH:C564884
Platelet Receptor for Collagen, Deficiency of	MESH:C565999
Platelet Signal Processing Defect	MESH:C566796
Platelet Storage Pool Deficiency	MESH:D010981
Platybasia	MESH:D010985
Platyspondylic Lethal Skeletal Dysplasia, Torrance Type	MESH:C563627
Pleoconial Myopathy with Salt Craving	MESH:C564883
Pleural Diseases	MESH:D010995
Pleural Effusion	MESH:D010996
Pleural Effusion, Malignant	MESH:D016066
Pleural Neoplasms	MESH:D010997
Pleurisy	MESH:D010998
Pleurodynia, Epidemic	MESH:D011000
Pleuropneumonia	MESH:D011001
Pleuropneumonia, Contagious	MESH:D011002
Pleuropulmonary blastoma	MESH:C537516
Plexosarcoma	MESH:C537517
Plummer-Vinson Syndrome	MESH:D011004
Pneumatosis Cystoides Intestinalis	MESH:D011006
Pneumocephalus	MESH:D011007
Pneumococcal Infections	MESH:D011008
Pneumoconiosis	MESH:D011009
Pneumocystis Infections	MESH:D016720
Pneumonia	MESH:D011014
Pneumonia, Aspiration	MESH:D011015
Pneumonia, Atypical Interstitial, of Cattle	MESH:D011016
Pneumonia, Bacterial	MESH:D018410
Pneumonia, Lipid	MESH:D011017
Pneumonia, Mycoplasma	MESH:D011019
Pneumonia, Necrotizing	MESH:D000071067
Pneumonia of Calves, Enzootic	MESH:D048089
Pneumonia of Swine, Mycoplasmal	MESH:D045729
Pneumonia, Pneumococcal	MESH:D011018
Pneumonia, Pneumocystis	MESH:D011020
Pneumonia, Progressive Interstitial, of Sheep	MESH:D011021
Pneumonia, Rickettsial	MESH:D011022
Pneumonia, Staphylococcal	MESH:D011023
Pneumonia, Ventilator-Associated	MESH:D053717
Pneumonia, Viral	MESH:D011024
Pneumopericardium	MESH:D011026
Pneumoperitoneum	MESH:D011027
Pneumorrhachis	MESH:D063205
Pneumothorax	MESH:D011030
Pneumovirus Infections	MESH:D018186
Podder-Tolmie syndrome	MESH:C537518
POEMS Syndrome	MESH:D016878
Poikiloderma, Hereditary Sclerosing	MESH:C562824
Poikiloderma of Kindler	MESH:C536321
Poikiloderma with Neutropenia	MESH:C565820
Pointer syndrome	MESH:C536323
Poisoning	MESH:D011041
Poland Syndrome	MESH:D011045
Poliomyelitis	MESH:D011051
Poliomyelitis, Bulbar	MESH:D011052
Polyarteritis Nodosa	MESH:D010488
Polyasplenia	MESH:C566862
Polychondritis, Relapsing	MESH:D011081
Polycystic bone disease	MESH:C536324
Polycystic Kidney, Autosomal Dominant	MESH:D016891
Polycystic Kidney, Autosomal Recessive	MESH:D017044
Polycystic Kidney, Cataract, and Congenital Blindness	MESH:C564882
Polycystic Kidney Disease, Potter Type I, with Microbrachycephaly, Hypertelorism, and Brachymelia	MESH:C564881
Polycystic Kidney Diseases	MESH:D007690
Polycystic kidney disease, type 1	MESH:C536326
Polycystic kidneys, severe infantile with tuberous sclerosis	MESH:C536328
Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy	MESH:C536329
Polycystic liver disease	MESH:C536330
Polycystic Ovarian Disease due to 17-Ketosteroid Reductase Deficiency	MESH:C564868
Polycystic Ovary Syndrome	MESH:D011085
Polycythemia	MESH:D011086
Polycythemia, primary familial and congenital	MESH:C536842
Polycythemia Vera	MESH:D011087
Polydactyly	MESH:D017689
Polydactyly myopia syndrome	MESH:C536331
Polydactyly, Postaxial	MESH:C562429
Polydactyly, Postaxial, Type A2	MESH:C566585
Polydactyly, Postaxial, Type A3	MESH:C564590
Polydactyly, Postaxial, Type A4	MESH:C563909
Polydactyly, Postaxial, with Dental and Vertebral Anomalies	MESH:C564880
Polydactyly, preaxial 4	MESH:C536333
POLYDACTYLY, PREAXIAL II	OMIM:174500
Polydactyly, Preaxial III	MESH:C566784
Polydactyly preaxial type 1	MESH:C536332
Polydipsia	MESH:D059606
Polydipsia, Psychogenic	MESH:D059607
Polydysspondyly	MESH:C565150
Polyendocrinopathies, Autoimmune	MESH:D016884
Polyglucosan Body Disease, Adult Form	MESH:C564878
Polyhydramnios	MESH:D006831
Polyhydramnios, Chronic Idiopathic	MESH:C564876
Polyhydramnios, Megalencephaly, And Symptomatic Epilepsy	MESH:C567020
Polymicrogyria	MESH:D065706
Polymicrogyria, Asymmetric	MESH:C567658
Polymicrogyria, Bilateral Frontoparietal	MESH:C564652
Polymicrogyria, Bilateral Occipital	MESH:C567201
Polymicrogyria With Optic Nerve Hypoplasia	MESH:C567715
Polymorphic catecholergic ventricular tachycardia	MESH:C536334
Polymyalgia Rheumatica	MESH:D011111
Polymyositis	MESH:D017285
Polyneuropathies	MESH:D011115
Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa, And Cataract	MESH:C567203
Polyneuropathy, Lethal Neonatal, Axonal Sensorimotor, Autosomal Recessive	MESH:C565773
Polyneuropathy, Mixed, of Early Onset	MESH:C564879
Polyomavirus Infections	MESH:D027601
Polyosteolysis-Hyperostosis Syndrome	MESH:C563658
Polyostotic osteolytic dysplasia, hereditary expansile	MESH:C536335
Polyploidy	MESH:D011123
Polyposis, Gastric	MESH:C562464
Polyposis, Intestinal, With Multiple Exostoses	MESH:C566776
Polyposis Of Gastric Fundus Without Polyposis Coli	MESH:C566775
Polyposis Syndrome, Hereditary Mixed, 1	MESH:C563365
Polyposis Syndrome, Hereditary Mixed, 2	MESH:C566451
Polyps	MESH:D011127
Polyps, Multiple And Recurrent Inflammatory Fibroid, Gastrointestinal	MESH:C566774
Polyradiculoneuropathy	MESH:D011129
Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	MESH:D020277
Polyradiculopathy	MESH:D011128
Polysaccharide, Storage of Unusual	MESH:C564877
Polysyndactyly, Crossed	MESH:C566773
Polythelia, Familial	MESH:C562557
Polyuria	MESH:D011141
Pontocerebellar Hypoplasia	MESH:C580383
Pontocerebellar Hypoplasia Type 1	MESH:C548069
PONTOCEREBELLAR HYPOPLASIA, TYPE 10	OMIM:615803
PONTOCEREBELLAR HYPOPLASIA, TYPE 1B	OMIM:614678
PONTOCEREBELLAR HYPOPLASIA, TYPE 1C	OMIM:616081
Pontocerebellar Hypoplasia Type 2	MESH:C548070
Pontocerebellar Hypoplasia Type 2A	MESH:C564738
Pontocerebellar Hypoplasia Type 2B	MESH:C567325
Pontocerebellar Hypoplasia Type 2C	MESH:C567324
PONTOCEREBELLAR HYPOPLASIA, TYPE 2D	OMIM:613811
PONTOCEREBELLAR HYPOPLASIA, TYPE 2E	OMIM:615851
PONTOCEREBELLAR HYPOPLASIA, TYPE 2F	OMIM:617026
Pontocerebellar Hypoplasia Type 3	MESH:C548072
PONTOCEREBELLAR HYPOPLASIA, TYPE 4	OMIM:225753
Pontocerebellar Hypoplasia Type 6	MESH:C548074
PONTOCEREBELLAR HYPOPLASIA, TYPE 7	OMIM:614969
PONTOCEREBELLAR HYPOPLASIA, TYPE 8	OMIM:614961
PONTOCEREBELLAR HYPOPLASIA, TYPE 9	OMIM:615809
Popliteal Cyst	MESH:D011151
Popliteal Pterygium Syndrome	MESH:C562509
Popliteal Pterygium Syndrome, Lethal Type	MESH:C564874
Porcine Postweaning Multisystemic Wasting Syndrome	MESH:D053570
Porcine Reproductive and Respiratory Syndrome	MESH:D019318
Porencephaly	MESH:D065708
Porencephaly cerebellar hypoplasia malformations	MESH:C536336
Poroid hidradenoma	MESH:C000613206
Porokeratosis	MESH:D017499
POROKERATOSIS 1, MULTIPLE TYPES	OMIM:175800
POROKERATOSIS 6, MULTIPLE TYPES	OMIM:612353
POROKERATOSIS 7, MULTIPLE TYPES	OMIM:614714
POROKERATOSIS 8, DISSEMINATED SUPERFICIAL ACTINIC TYPE	OMIM:616063
POROKERATOSIS 9, MULTIPLE TYPES	OMIM:616631
Porokeratosis, disseminated superficial actinic 1	MESH:C536339
Porokeratosis, Disseminated Superficial Actinic, 3	MESH:C567356
Porokeratosis, Disseminated Superficial Actinic, 4	MESH:C567339
Porokeratosis punctata palmaris et plantaris	MESH:C536338
Poroma	MESH:D057091
Porphyria, Acute Hepatic	MESH:C562618
Porphyria, Acute Intermittent	MESH:D017118
Porphyria, Acute Intermittent, Nonerythroid Variant	MESH:C566769
Porphyria, Chester type	MESH:C536341
Porphyria Cutanea Tarda	MESH:D017119
Porphyria Cutanea Tarda, Type I	MESH:C566768
Porphyria, Erythropoietic	MESH:D017092
Porphyria, Hepatoerythropoietic	MESH:D017121
Porphyrias	MESH:D011164
Porphyrias, Hepatic	MESH:D017094
Porphyria, Variegate	MESH:D046350
Portal Vein, Cavernous Transformation Of	MESH:C563407
Port-Wine Stain	MESH:D019339
Positive-Pressure Respiration, Intrinsic	MESH:D018467
Postaxial Oligodactyly, Tetramelic	MESH:C566767
Post-Cardiac Arrest Syndrome	MESH:D000080942
Postcholecystectomy Syndrome	MESH:D017562
Post-Concussion Syndrome	MESH:D038223
Post-Dural Puncture Headache	MESH:D051299
Posterior Capsular Rupture, Ocular	MESH:D057851
Posterior Cervical Sympathetic Syndrome	MESH:D055010
Posterior column ataxia	MESH:C536342
Posterior column ataxia with retinitis pigmentosa	MESH:C536343
Posterior Leukoencephalopathy Syndrome	MESH:D054038
Posterior Tibial Tendon Dysfunction	MESH:D037081
Post-Exercise Hypotension	MESH:D057774
Postgastrectomy Syndromes	MESH:D011178
postintensive care syndrome	MESH:C000657744
Post-Lyme Disease Syndrome	MESH:D000077342
Postmastectomy Angiosarcoma	MESH:C000608733
Postmortem Changes	MESH:D011180
Postoperative Cognitive Complications	MESH:D000079690
Postoperative Complications	MESH:D011183
Postoperative Hemorrhage	MESH:D019106
Postoperative Nausea and Vomiting	MESH:D020250
Postpartum Hemorrhage	MESH:D006473
Postpartum Thyroiditis	MESH:D050032
Postpericardiotomy Syndrome	MESH:D011185
Postphlebitic Syndrome	MESH:D011186
Postpoliomyelitis Syndrome	MESH:D016262
Postthrombotic Syndrome	MESH:D054070
Post-Traumatic Headache	MESH:D051298
Postural Orthostatic Tachycardia Syndrome	MESH:D054972
Potassium aggravated myotonia	MESH:C538353
Potassium Deficiency	MESH:D011191
Potato nose	MESH:C538354
Potocki-Lupski syndrome	MESH:C538355
Potocki-Shaffer syndrome	MESH:C538356
Potter Type III Polycystic Kidney Disease	MESH:C566792
Pott Puffy Tumor	MESH:D059369
Pouchitis	MESH:D019449
Poult Enteritis Mortality Syndrome	MESH:D031261
Poultry Diseases	MESH:D011201
Powell Chandra Saal syndrome	MESH:C538357
Powell Venencie Gordon syndrome	MESH:C538358
Poxviridae Infections	MESH:D011213
Ppm-X Syndrome	MESH:C580387
Prader-Willi habitus, osteopenia, and camptodactyly	MESH:C538276
Prader-Willi-Like Syndrome Associated With Chromosome 6	MESH:C566764
Prader-Willi Syndrome	MESH:D011218
Preauricular Fistulae, Congenital	MESH:C563015
Preauricular Tag, Isolated, Autosomal Dominant, 1	MESH:C566904
Preaxial deficiency, postaxial polydactyly and hypospadias	MESH:C538278
Preaxial Hallucal Polydactyly	MESH:C566632
Precancerous Conditions	MESH:D011230
Preconception Injuries	MESH:D047489
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	MESH:D015452
Precursor Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054198
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054218
Prediabetic State	MESH:D011236
Pre-Eclampsia	MESH:D011225
Preeclampsia Eclampsia 2	MESH:C563726
Preeclampsia Eclampsia 3	MESH:C563725
Preeclampsia Eclampsia 4	MESH:C563724
Preeclamptic toxemia	MESH:C538543
Pre-Excitation, Mahaim-Type	MESH:D011227
Pre-Excitation Syndromes	MESH:D011226
Preeyasombat Varavithya syndrome	MESH:C535269
Pregnancy, Abdominal	MESH:D011269
Pregnancy, Angular	MESH:D065170
Pregnancy Complications	MESH:D011248
Pregnancy Complications, Cardiovascular	MESH:D011249
Pregnancy Complications, Hematologic	MESH:D011250
Pregnancy Complications, Infectious	MESH:D011251
Pregnancy Complications, Neoplastic	MESH:D011252
Pregnancy Complications, Parasitic	MESH:D015597
Pregnancy, Cornual	MESH:D065173
Pregnancy, Ectopic	MESH:D011271
Pregnancy, Heterotopic	MESH:D063192
Pregnancy in Diabetics	MESH:D011254
Pregnancy, Interstitial	MESH:D065167
PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 1	OMIM:614389
PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 2	OMIM:614390
PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 3	OMIM:614391
Pregnancy, Ovarian	MESH:D065172
Pregnancy, Prolonged	MESH:D011273
Pregnancy, Tubal	MESH:D011274
Prehypertension	MESH:D058246
PREIMPLANTATION EMBRYONIC LETHALITY 1	OMIM:616814
PREIMPLANTATION EMBRYONIC LETHALITY 2	OMIM:617234
Prekallikrein Deficiency	MESH:C562725
Preleukemia	MESH:D011289
Premature aging, Okamoto type	MESH:C535270
Premature Aging Syndrome, Okamoto Type	MESH:C566621
Premature Birth	MESH:D047928
PREMATURE CHROMATID SEPARATION TRAIT	OMIM:176430
Premature Ejaculation	MESH:D061686
PREMATURE OVARIAN FAILURE 10	OMIM:612885
PREMATURE OVARIAN FAILURE 11	OMIM:616946
PREMATURE OVARIAN FAILURE 12	OMIM:616947
PREMATURE OVARIAN FAILURE 13	OMIM:617442
Premature Ovarian Failure 2a	MESH:C564498
Premature Ovarian Failure 2b	MESH:C564476
Premature Ovarian Failure 3	MESH:C563816
Premature Ovarian Failure 5	MESH:C566921
Premature Ovarian Failure 6	MESH:C567351
Premature Ovarian Failure 7	MESH:C567838
PREMATURE OVARIAN FAILURE 8	OMIM:615723
PREMATURE OVARIAN FAILURE 9	OMIM:615724
Premature ovarian failure, familial	MESH:C535272
Premenstrual Dysphoric Disorder	MESH:D065446
Premenstrual Syndrome	MESH:D011293
Prenatal Bowing	MESH:C564873
Prenatal Cortical Hyperostosis, Lethal	MESH:C566184
Prenatal Exposure Delayed Effects	MESH:D011297
Prenatal Injuries	MESH:D049188
Prepapillary Vascular Loops	MESH:C563287
Presbycusis	MESH:D011304
Presbycusis 2	MESH:C567834
Presbyopia	MESH:D011305
Presenile And Senile Dementia	MESH:C563254
Presenile dementia, Kraepelin type	MESH:C535273
Presentey Anomaly	MESH:C564893
Pressure Ulcer	MESH:D003668
Preterm Premature Rupture of the Membranes	MESH:C563032
Priapism	MESH:D011317
Priapism, familial idiopathic	MESH:C531791
Prickle1-Related Progressive Myoclonic Epilepsy with Ataxia	MESH:C580388
Prieto X-linked mental retardation syndrome	MESH:C535274
Primary angiitis of the central nervous system	MESH:C535276
Primary ciliary dyskinesia, 2	MESH:C535277
Primary ciliary dyskinesia, 3	MESH:C535278
Primary ciliary dyskinesia, 4	MESH:C535279
Primary cortisol resistance	MESH:C535280
Primary Dysautonomias	MESH:D054969
Primary Graft Dysfunction	MESH:D055031
Primary granulocytic sarcoma	MESH:C536413
Primary hyperoxaluria type 1	MESH:C536414
Primary hyperoxaluria type 2	MESH:C536415
Primary Immunodeficiency Diseases	MESH:D000081207
Primary Lateral Sclerosis, Adult, 1	MESH:C566900
Primary lateral sclerosis juvenile	MESH:C536416
Primary malignant melanoma of the cervix	MESH:C536417
Primary Myelofibrosis	MESH:D055728
Primary orthostatic tremor	MESH:C536418
Primary Ovarian Insufficiency	MESH:D016649
Primary Progressive Nonfluent Aphasia	MESH:D057178
Primary Release Disorder Of Platelets	MESH:C566759
Primary visual agnosia	MESH:C531604
Primate Diseases	MESH:D018419
Primrose syndrome	MESH:C536420
Prinzmetal's variant angina	MESH:C536421
Prion Diseases	MESH:D017096
Proctitis	MESH:D011349
Proctocolitis	MESH:D011350
Prodromal Symptoms	MESH:D062706
Progeria	MESH:D011371
Progeria short stature pigmented nevi	MESH:C536422
Progeria Syndrome, Childhood-Onset	MESH:C567661
Progeroid Facial Appearance with Hand Anomalies	MESH:C566563
Progeroid Syndrome, Congenital, Petty Type	MESH:C567360
Progeroid syndrome, neonatal	MESH:C536423
Progesterone Resistance	MESH:C564871
Prognathism	MESH:D011378
Progressive Encephalomyelitis with Rigidity	MESH:C566113
Progressive External Ophthalmoplegia With Hypogonadism	MESH:C563576
Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 1	MESH:C563575
Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 2	MESH:C563750
Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 3	MESH:C563747
Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 4	MESH:C566437
Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Dominant, 5	MESH:C567768
PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 6	OMIM:615156
Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Recessive	MESH:C564926
PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 2	OMIM:616479
PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 3	OMIM:617069
PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 4	OMIM:617070
PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA	OMIM:113900
Progressive Familial Heart Block, Type Ib	MESH:C567037
Progressive Familial Heart Block, Type II	MESH:C564202
Progressive hearing loss stapes fixation	MESH:C536424
Progressive supranuclear palsy atypical	MESH:C537240
Progressive Transformation of Germinal Centers	MESH:C548085
Proguanil, Poor Metabolism of	MESH:C563704
Prolactin Deficiency, Isolated	MESH:C562708
Prolactin Deficiency with Obesity and Enlarged Testes	MESH:C564870
Prolactinoma	MESH:D015175
Prolapse	MESH:D011391
Prolidase Deficiency	MESH:D056732
Prolonged Bleeding Time, Brachydactyly, and Mental Retardation	MESH:C564207
Prolonged Electroretinal Response Suppression	MESH:C564243
Pronation-Supination Of The Forearm, Impairment Of	MESH:C566757
